Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US West (N. California),webservers,Amazon EC2,0,936.5699999999999,11238.84,USD,"Operating system (Linux), Quantity (2), Pricing strategy (On-Demand Instances  ), Storage for each EC2 instance (Provisioned IOPS SSD (io1)), Storage amount (200 GB), Provisioning IOPS (30000), Instance type (t3a.2xlarge)"
My Estimate,US West (N. California),Application Servers,Amazon EC2,0,1568.1699999999998,18818.04,USD,"Operating system (Linux), Quantity (2), Pricing strategy (On-Demand Instances  ), Storage for each EC2 instance (Provisioned IOPS SSD (io1)), Storage amount (300 GB), Provisioning IOPS (30000), Instance type (m5zn.2xlarge)"
My Estimate,US West (N. California),RDS,Amazon RDS for PostgreSQL,0,2387.6,28651.20,USD,"Quantity (2), Pricing strategy (On-Demand Instances 1 Year No Upfront), Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB per month), Instance type (db.m5.2xlarge)"
My Estimate,US West (N. California),,Amazon Virtual Private Cloud (VPC),0,84.19,1010.28,USD,Number of NAT Gateways (1)
My Estimate,US West (N. California),Elastic Load Balancing,Elastic Load Balancing,0,1204.79,14457.48,USD,Number of Application Load Balancers (2)
My Estimate,US West (N. California),,S3 Standard,0,53.58,642.96,USD,S3 Standard storage (2000 GB per month)
My Estimate,US West (N. California),,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (100 TB per month) 
, DT Outbound: Amazon Cloud Front (100 TB per month) 
"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
